_NAME_;_MODEL_;_SKU_
Салфетки бумажные Tork Linstyle, 39х39 см, 1-слойные, красные, 50 листов в упаковке;12-0687;12-0687
Салфетки Tork Linstyle, 39х39 см, 1-слойные, черные, 50 листов в упаковке;12-0688;12-0688
Полотенца бумажные Focus Eco V-сложения, однослойные, белые, 200 листов в упаковке, 23х20,5 см *15;12-0689;12-0689
Полотенца бумажные Focus Eco V-сложения, белые, однослойные, 250 листов в упаковке, 23х20,5см, 15 штук;12-0690;12-0690
Полотенца бумажные V-сложения 1 сло1 250л/уп  белые 23х23см  Focus Eco*15;12-0691;12-0691
Туалетная бумага Papia Professional 3-х слойная, белая, 8 рулонов в упаковке белая;12-0694;12-0694
Салфетки бумажные Tork LinStyle, 39х39 см, 1-слойные, антрацит, 50 листов в упаковке;12-0717;12-0717
Туалетная бумага Focus V-fold, 250 л, 2 слоя, листовая, белая, 10,8х23 см, 30 упаковок в коробе;12-0720;12-0720
Салфетки Focus, 16,8х23 см, 2 слоя, белые, 200 л, 1/2 сложения N4 *15;12-0721;12-0721
Салфетки бумажные Tork Premium Interfold 21,6х16,5 см, 2-слойные, 1/2 сложения, белые, 200 листов в упаковке, в коробке 40 упаковок;12-0724;12-0724
Салфетки влажные Bonne Brise детские, 60 штук в упаковке;12-0727;12-0727
Туалетная бумага PROtissue Comfort, 1-слойная, 54 метра, 72 рулона в коробке;12-0730;12-0730
Туалетная бумага PROtissue Comfort, 1-слойная, 200 метров, белая, 12 штук в упаковке;12-0731;12-0731
Туалетная бумага 1-слойная, 200 метров, серый цвет, в упаковке 12 штук;12-0748;12-0748
"Салфетки влажные антибактериальные ""Чистота и Свежесть"", 15 штук в упаковке";12-0784;12-0784
Полотенца бумажные PROtissue Premium, 150 метров, 2-слойные, белые, 6 рулонов в упаковке;12-0789;12-0789
Полотенца бумажные PROtissue, 150 метров, 2-слойные, белые, с центральной вытяжкой, 6 рулонов в упаковке;12-0790;12-0790
Туалетная бумага PROtissue M Premium, 3-слойная, белая, 21 метр, 125х96 мм, 8 рулонов в упаковке;12-0793;12-0793
Туалетная бумага PROtissue S Premium, 3-слойная, белая, 4 рулона в упаковке;12-0794;12-0794
Полотенца бумажные PROtissue Premium, белые, 2-слойные, 2 рулона в упаковке;12-0795;12-0795
Салфетки бумажные, 33х33 см, 2-слойные, бордо, 200 листов в упаковке;12-0809;12-0809
Салфетки бумажные, 33х33 см, 2-слойные, желтые, 200 листов в упаковке;12-0810;12-0810
Салфетки бумажные, 33х33 см, 2-слойные, зеленые, 200 листов в упаковке;12-0811;12-0811
Салфетки бумажные, 33х33см, 2-слойные, красные, 200 листов в упаковке;12-0812;12-0812
Салфетки бумажные, 33х33 см, 2-слойные, синие, 200 листов в упаковке;12-0813;12-0813
Салфетки бумажные, 33х33 см, 2-слойные, черные, 200 листов в упаковке;12-0814;12-0814
Салфетки бумажные, 33х33 см, 2-слойные, шампань, 200 листов в упаковке;12-0815;12-0815
Салфетки 33х22, 1-слойные, белые, 200 листов, 1/4 сложения, N4, 32 штуки в упаковке;12-0816;12-0816
"Салфетка влажная в индивидуальной упаковке ""Антибактериальная"" Optiline, 500 штук в коробке";12-0818;12-0818
